,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
546,F38073,E1041960,562.22
547,F38074,TUA00021,6908.25
548,F38082,TUA00009,4550.39
549,F38083,TP0001,77.33
550,F38085,TUA00258,11149.24
551,F38086,BN00254,954.69
552,F38089,TP0025,2322.19
553,F38090,TUA00441,1638.08
554,F38092,BP00215,550.77
555,F38092,RP00191,408.3
556,F38094,TP0025,126.37
557,F38096,RC00013,597.52
558,F38097,EE00021,23144.3
559,F38102,TUA00442,1705.76
560,F38104,TP0025,1741.32
561,F38109,RP00195,592.15
562,F38111,RM00022,1572.83
563,F38112,RP00194,297.27
564,F38113,TUA00443,961.71
565,F38114,TEA00006,4462.64
566,F38115,RC00012,7355.22
567,F38116,TU5/16X230MM,799.65
568,F38119,EE00055,1484.71
569,F38122,TEA00096,1426.09
570,F38124,PT00083,2503.73
571,F38124,TEA00100,2978.75
572,F38127,TP0002,90.43
573,F38129,CS12D2040A01,562.48
574,F38130,TUA00439,1541.53
575,F38131,TEA00099,2914.83
576,F38132,TP0011,1718.0
577,F38134,TP0002,181.26
578,F38135,TJ00063,9478.26
579,F38140,PK31A1I1A000,1322.14
580,F38141,BC00027,3904.92
581,F38142,BB00101,876.96
582,F38145,TUE00081,1576.73
583,F38147,CAE00011,1147.87
584,F38148,RP00197,4904.69
585,F38149,TUS00121,499.01
586,F38155,BP00263,525.31
587,F38159,TU5/16X870J127V,924.89
588,F38160,RP00196,8475.39
589,F38161,CS58M2050A11,1523.43
590,F38161,PJ000GE1A400,553.27
591,F38170,TP00021,1613.91
592,F38170,TP00022,1679.98
593,F38171,BB1 1/2X1/2-300W,171.0
594,F38177,93980461,806.51
595,F38178,93980461,806.51
596,F38179,54020219,2792.42
597,F38180,54020219,2667.32
598,F38186,TUA00131,7556.28
599,F38189,RP00193,1806.6
600,F38191,TUE00353,503.46
601,F38194,TUE00207,3717.3
602,F38195,TUE00354,1155.74
603,F38196,PJ000GH1A000,731.78
604,F38196,PJ000GJ1A000,897.82
605,F38196,PT00084,1896.36
606,F38200,PT00010,4304.13
607,F38201,TUA00127,3746.31
608,F38204,TUA00321,6824.94
609,F38205,MR01934,1545.16
610,F38208,TP0001,324.2
611,F38209,RP00002,-3960.83
612,F38215,ECQ-01444,8988.43
613,F38216,TUA00311,1202.72
614,F38217,TUE00068,5386.49
615,F38221,CAS00080,63116.08
616,F38228,TUS00090,518.81
617,F38229,TEA00058,7925.64
618,F38230,BB1 1/2X1/2-300W,132.0
619,F38233,70001694,4588.99
620,F38234,70001692,3434.45
621,F38235,70001684,7497.56
622,F38236,RP00198,971.18
623,F38239,CAS00034,6725.11
624,F38240,TP0003,264.85
625,F38241,TP0022,14752.85
626,F38245,TEA00101,467.22
627,F38246,TP0016,1020.0
628,F38247,TUS00122,1104.56
629,F38248,TUS00122,1656.84
630,F38249,TP0005,167.59
631,F38256,CS58G1030A00,955.71
632,F38261,TU5/16X203V,960.39
633,F38265,BP00264,1780.0
634,F38276,CAS00043,1134.06
635,F38277,47980249,4154.22
636,F38278,47980626,2636.09
637,F38279,MR8-250-11-13,1359.96
638,F38281,TUA00449,4529.47
639,F38281,TUA00450,2356.59
640,F38282,TUA00049,9946.69
641,F38283,CBE00012,6668.93
642,F38283,CBE00040,3756.17
643,F38284,TK00065,907.44
644,F38288,TP0040,281.37
645,F38291,47980075,28303.52
646,F38293,47980249,10944.77
647,F38294,CAS00079,5085.61
648,F38295,TUE00101,733.01
649,F38296,AK00012,2532.87
650,F38297,TUA00445,2513.99
651,F38300,CBE00039,567.0
652,F38302,TJ00091,681.74
653,F38309,TU5/16X230MM,1599.22
654,F38312,TUE00146,42622.74
655,F38315,TUA00325,8599.48
656,F38317,BN00256,1128.43
657,F38317,BN00257,974.16
658,F38317,BP00263,525.31
659,F38321,BB1 1/2X1/2-300W,172.0
660,F38324,RP00201,507.67
661,F38327,BB1 1/2X1/2-300W,171.0
662,F38329,TUA00436,5905.19
663,F38336,TU5/16X230MM,799.61
664,F38342,RP00202,732.06
665,F38343,CS58P2120A01,7302.26
666,F38344,BOBINA001,27635.96
667,F38346,TUA00444,3065.61
668,F38347,CS14D2017B20,1488.39
669,F38349,TP0011,1397.24
670,F38349,TP0012,1280.8
671,F38351,TP0006,-522.0
672,F38352,RP00203,-166753.38
673,F38353,TUE00362,1032.8
674,F38357,TEE00027,3000.68
675,F38358,TU5/16X230MM,799.61
676,F38364,TP0001,51.71
677,F38365,TUA00438,1134.94
678,F38368,TUA00439,3083.06
679,F38372,TUS00005,2496.63
680,F38373,TU5/16X203V,960.39
681,F38374,BO00061,8730.14
682,F38375,TUE00363,2273.89
683,F38380,CS14D2017B20,2104.39
684,F38386,BB1 1/2X1/2-300W,132.0
685,F38388,BO00064,1295.6
686,F38390,BO00062,4612.63
687,F38391,CBS00098,5716.02
688,F38392,TP0011,374.31
689,F38393,ECQ-00972,22400.21
690,F38393,ECQ-00974,4529.41
691,F38395,TP0025,152.67
692,F38399,TUA00446,1182.26
693,F38401,CAS00068,1526.69
694,F38401,CAS00069,788.66
695,F38401,CAS00070,1216.15
696,F38401,CAS00071,1465.01
697,F38403,TP0002,590.91
698,F38403,TP0003,737.13
699,F38404,TUA00124,904.02
700,F38407,PK51H1JBA600,3059.83
701,F38408,TEE00028,4148.18
702,F38408,TUS00123,4433.44
703,F38412,CAS00081,719.74
704,F38412,TP0024,143.51
705,F38417,TP0012,510.4
706,F38418,BN00258,1333.73
707,F38424,TUA00447,5523.25
708,F38424,TUA00448,5425.38
709,F38425,TUE00362,516.07
710,F38426,TP0009,315.84
711,F38427,TP0011,1397.24
712,F38427,TP0012,1020.8
713,F38428,TP0003,232.28
714,F38432,CM10G1030A00,1847.22
715,F38433,TUA00457,2266.62
716,F38435,TP0025,3578.46
717,F38436,BP00246,604.71
718,F38436,BP00247,1678.51
719,F38436,BP00263,1050.62
720,F38437,TUA00413,557.8
721,F38438,TU5/16X203V240W,554.85
722,F38440,EE00059,6929.1
723,F38443,BO00063,-38.41
724,F38443,RB00021,2147.66
725,F38447,CS14D2017B20,701.36
726,F38454,TUA00453,4763.66
727,F38455,CS14E1012A00,1702.31
728,F38456,TEA00103,2765.92
729,F38457,TUA00009,2226.14
730,F38458,PT00057,2308.08
731,F38459,CAE00011,757.96
732,F38464,TT00009,5602.19
733,F38464,TT00010,6126.27
734,F38466,P9K1J1D1G030,1116.64
735,F38469,TU5/16X870J127V,475.41
736,F38471,P214J1BBA600,743.41
737,F38472,BN00260,1001.68
738,F38472,BN00261,1208.74
739,F38474,CS38C1008A00,3840.62
740,F38475,TJ00029,3230.02
741,F38477,TUA00099,6226.16
742,F38477,TUA00191,2721.71
743,F38480,TP0005,338.23
744,F38482,BP00215,550.77
745,F38482,RP00191,408.3
746,F38484,BOBINA002,35136.41
747,F38484,BOBINA003,19930.55
748,F38487,TUS00016,2046.62
749,F38487,TUS00017,2625.1
750,F38487,TUS00018,3162.35
751,F38488,PA00011,1943.94
752,F38488,PA00012,1556.5
753,F38489,TUA00458,1534.45
754,F38491,PT31B1G1AG00,2609.57
755,F38492,PT00087,2200.85
756,F38493,TUA00459,819.98
757,F38495,TUA00461,789.87
758,F38497,TUE00171,4245.08
759,F38499,TP0012,255.2
760,F38501,TP0011,1031.11
761,F38502,TUA00460,2206.69
762,F38505,TUE00004,395.73
763,F38507,ECQ-01444,15960.89
764,F38509,TEA00004,388.64
765,F38513,BN00216,495.34
766,F38514,TUA00009,2521.58
767,F38516,BL00012,591.0
768,F38517,PJ31F1F1A400,260.68
769,F38524,ECQ-00971,1711.94
770,F38528,TP0016,471.8
771,F38531,TUA00459,819.98
772,F38534,BL00057,753.73
773,F38534,BL00058,1166.49
774,F38534,BP00265,1168.31
775,F38534,BP00266,1258.01
776,F38536,TP0007,365.79
777,F38536,TP0008,391.48
778,F38536,TP0009,294.5
779,F38537,BS00012,583.24
780,F38542,ABRAZA01,1079.68
781,F38543,TEA00006,4439.07
782,F38544,TEA00006,3329.3
783,F38545,93980461,711.4
784,F38546,54020219,2667.32
785,F38547,47980249,4106.48
786,F38549,EE00060,888.98
787,F38553,PJ000NH1A400,2985.02
788,F38557,P131B1I14000,429.89
789,F38558,TP0012,569.47
790,F38561,PJ000GH1A000,365.89
791,F38561,PJ000GJ1A000,2693.45
792,F38562,PT00063,876.72
793,F38566,BS00010,1186.02
794,F38576,BN00263,2027.28
795,F38576,BP00267,1416.86
796,F38577,MR01934,3884.0
797,F38578,TUA00318,7921.49
798,F38580,TUA00459,819.98
799,F38583,CAS00083,25685.11
800,F38583,CAS00084,12791.35
801,F38583,CAS00085,1649.18
802,F38583,CAS00086,1227.08
803,F38586,TP0011,1284.3
804,F38588,PT00088,470.89
805,F38588,TUE00364,775.35
806,F38590,BP00070,2104.62
807,F38602,TP0040,228.13
808,F38602,TUA00376,9167.2
809,F38604,TJ00092,1924.99
810,F38605,TP0001,96.21
811,F38606,CBS00104,1909.61
812,F38609,PT00034,7399.49
813,F38612,AJ00010,2178.77
814,F38612,TUE00367,3092.27
815,F38613,TEE00017,1657.34
816,F38615,PT00047,5524.05
817,F38616,TUA00177,12843.96
818,F38617,TP0012,293.2
819,F38620,RP00205,1925.0
820,F38622,TP0005,217.51
